Winter.treatment,Origin,Population,MotherID,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,LT50.Temp,Opened.by,Actual.opening.date,Actual.opening.time,test_live,test_dead,test_total,test_ratio,control_live,control_dead,control_total,control_ratio,Notes,round,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes
Estonia,Estonia,Paernu,E18-Paernu-19,n,1,07-08-18,07-04-19,0.375,-26,M. Sheffer,07-04-19,0.375,5,5,10,0.5,10,0,10,1,NA,post,6112.16,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-19,n,2,25-08-18,25-04-19,0.625,-18,T. Moeller,25-04-19,0.625,8,2,10,0.8,9,0,9,1,in freezer 10 min too long,post,6112.16,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-20,n,1,14-08-18,14-04-19,0.375,-32,L. Zander,14-04-19,0.385416667,2,8,10,0.2,10,0,10,1,NA,post,5071.99,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-20,n,2,01-09-18,01-05-19,0.375,-32,L. Zander,01-05-19,0.375,3,7,10,0.3,10,0,10,1,NA,post,5071.99,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-21,n,1,11-08-18,11-04-19,0.375,-26,J. Balk,11-04-19,0.375,2,8,10,0.2,10,0,10,1,NA,post,6304.75,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-21,n,2,28-08-18,28-04-19,0.375,-26,J. Balk,28-04-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6304.75,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-22,n,1,16-08-18,16-04-19,0.375,-10,J. Balk,16-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,7025.8,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-25,n,1,08-08-18,09-04-19,0.625,-18,L. Zander,09-04-19,0.635416667,7,3,10,0.7,4,0,4,1,"was planned to be E18-Paernu-17, but it was already opened",post,6007.16,M. Sheffer,left
France,Estonia,Paernu,E18-Paernu-26,n,1,07-08-18,07-04-19,0.375,-26,J. Balk,07-04-19,0.375,3,7,10,0.3,10,0,10,1,NA,post,7373.72,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-26,n,2,25-08-18,25-04-19,0.625,-10,L. Zander,25-04-19,0.625,10,0,10,1,10,0,10,1,in freezer 10 min too long,post,7373.72,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-28,n,1,14-08-18,14-04-19,0.625,-26,T. Moeller,14-04-19,0.625,2,8,10,0.2,10,0,10,1,NA,post,5919.89,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-28,n,2,31-08-18,01-05-19,0.375,-10,T. Moeller,01-05-19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,5919.89,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-29,n,1,07-08-18,07-04-19,0.625,-26,M. Sheffer,07-04-19,0.623611111,2,8,10,0.2,10,0,10,1,NA,post,6167.72,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-3,n,1,19-08-18,19-04-19,0.375,-32,L. Zander,19-04-19,0.388888889,0,10,10,0,10,0,10,1,NA,post,8205.89,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-34,n,1,07-08-18,07-04-19,0.625,-32,T. Moeller,07-04-19,0.628472222,0,10,10,0,10,0,10,1,NA,post,5830.03,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-34,n,2,18-08-18,18-04-19,0.625,-32,J. Balk,18-04-19,0.625,0,10,10,0,10,0,10,1,NA,post,5830.03,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-39,n,1,20-08-18,20-04-19,0.375,-18,T. Moeller,20-04-19,0.375,5,5,10,0.5,10,0,10,1,NA,post,5703.77,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-39,n,2,01-09-18,02-05-19,0.375,-18,L. Zander,02-05-19,0.381944444,8,2,10,0.8,10,0,10,1,consider excluding,post,5703.77,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-40,n,1,14-08-18,14-04-19,0.375,-32,M. Sheffer,14-04-19,0.378472222,3,7,10,0.3,10,0,10,1,NA,post,4805.78,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-45,n,1,16-08-18,16-04-19,0.375,-18,L. Zander,16-04-19,0.395833333,7,3,10,0.7,10,0,10,1,NA,post,5479.41,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-47,n,1,22-08-18,22-04-19,0.625,-26,L. Zander,22-04-19,0.642361111,5,5,10,0.5,10,0,10,1,NA,post,6471.16,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-5,n,1,19-08-18,19-04-19,0.625,-10,L. Zander,19-04-19,0.625,10,0,10,1,10,0,10,1, freezer -9 not -10,post,6026.42,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-5,n,2,01-09-18,05-05-19,0.625,-18,L. Zander,05-05-19,0.625,0,10,10,0,10,0,10,1,consider excluding,post,6026.42,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-50,n,1,07-08-18,07-04-19,0.625,-32,T. Moeller,07-04-19,0.623611111,0,10,10,0,10,0,10,1,NA,post,5424.1,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-51,n,1,08-08-18,09-04-19,0.625,-18,M. Sheffer,09-04-19,0.627083333,10,0,10,1,10,0,10,1,"was planned to be E18-Paernu-51, but it was already opened",post,6787.69,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-53,n,1,07-08-18,07-04-19,0.625,-26,J. Balk,07-04-19,0.623611111,0,10,10,0,10,0,10,1,NA,post,5040.74,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-54,n,1,15-08-18,15-04-19,0.625,-10,L. Zander,15-04-19,0.624305556,10,0,10,1,10,0,10,1,10 minutes too long in freezer,post,6962.18,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-54,n,2,31-08-18,01-05-19,0.625,-10,M. Sheffer,01-05-19,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,6962.18,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-56,n,1,07-08-18,05-04-19,0.375,-10,T. Moeller,05-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,6821.69,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-57,n,1,14-08-18,14-04-19,0.375,-26,T. Moeller,14-04-19,0.375,4,6,10,0.4,10,0,10,1,NA,post,5411.65,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-57,n,2,27-08-18,27-04-19,0.625,-26,M. Sheffer,27-04-19,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,5411.65,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-6,n,1,18-08-18,18-04-19,0.375,-26,M. Sheffer,18-04-19,0.388888889,3,7,10,0.3,10,0,10,1,NA,post,5529.23,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-60,n,1,08-08-18,08-04-19,0.625,-32,L. Zander,08-04-19,0.625,0,10,10,0,10,0,10,1,NA,post,6657.33,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-60,n,2,27-08-18,27-04-19,0.625,-32,L. Zander,27-04-19,0.625,0,10,10,0,10,0,10,1,NA,post,6657.33,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-62,n,1,16-08-18,16-04-19,0.375,-32,J. Balk,16-04-19,0.395833333,3,7,10,0.3,10,0,10,1,NA,post,7099.3,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-62,n,2,01-09-18,01-05-19,0.375,-32,T. Moeller,01-05-19,0.378472222,2,5,7,0.285714286,7,0,7,1,NA,post,7099.3,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-64,n,1,11-08-18,11-04-19,0.625,-26,T. Moeller,11-04-19,0.604166667,0,10,10,0,10,0,10,1,NA,post,6376.22,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-64,n,2,26-08-18,26-04-19,0.375,-10,T. Moeller,26-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,6376.22,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-65,n,1,07-08-18,07-04-19,0.375,-32,T. Moeller,07-04-19,0.375,2,8,10,0.2,10,0,10,1,NA,post,5814.6,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-68,n,1,07-08-18,11-04-19,0.375,-10,M. Sheffer,11-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,6334.22,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-7,n,1,09-08-18,09-04-19,0.625,-32,J. Balk,09-04-19,0.625694444,0,10,10,0,10,0,10,1,NA,post,6587.5,M. Sheffer,NA
