ddradID,altID,population_number,population_name,Country,Treatment,GPS_N,GPS_E,1Ovi_Egg,1Ovi_Dead,1Ovi_Living,2Ovi_Egg,2Ovi_Dead,2Ovi_Living,Pigmentation,LegLength,1Ovi_LegLength,2Ovi_LegLength,1Ovi_mass,2Ovi_mass
G18-BM-10_trimmed.sorted,G18-BM-10,11,Brumath,Germany,NA,48.727015,7.689943,20,68,204,150,0,0,0.35,7090.32,488.035,NA,NA,NA
G18-BM-13_trimmed.sorted,G18-BM-13,11,Brumath,Germany,NA,48.727015,7.689943,0,0,106,0,0,89,0.31,NA,566.769,NA,NA,NA
G18-BM-15_trimmed.sorted,G18-BM-15,11,Brumath,Germany,NA,48.727015,7.689943,0,0,112,3,26,84,0.39,8228.74,572.759,NA,NA,NA
G18-BM-16_trimmed.sorted,G18-BM-16,11,Brumath,Germany,NA,48.727015,7.689943,1,13,112,1,0,53,0.15,6284.06,546.177,NA,NA,NA
G18-BM-18_trimmed.sorted,G18-BM-18,11,Brumath,Germany,NA,48.727015,7.689943,78,24,7,10,0,12,0.4,7308.31,NA,NA,NA,NA
G18-BM-19_trimmed.sorted,G18-BM-19,11,Brumath,Germany,NA,48.727015,7.689943,0,6,173,64,44,1,0.23,6192.19,573.53,NA,NA,NA
G18-BM-23_trimmed.sorted,G18-BM-23,11,Brumath,Germany,NA,48.727015,7.689943,0,0,167,0,2,143,0.29,6102.78,561.544,NA,NA,NA
G18-BM-26_trimmed.sorted,G18-BM-26,11,Brumath,Germany,NA,48.727015,7.689943,0,0,87,23,68,52,0.2,NA,507.18,NA,NA,NA
G18-BM-3_trimmed.sorted,G18-BM-3,11,Brumath,Germany,NA,48.727015,7.689943,0,0,100,3,51,0,0.34,7164,551.679,NA,NA,NA
G18-BM-4_trimmed.sorted,G18-BM-4,11,Brumath,Germany,NA,48.727015,7.689943,6,0,318,71,76,25,0.34,6518.47,555.724,NA,NA,NA
G18-BM-9_trimmed.sorted,G18-BM-9,11,Brumath,Germany,NA,48.727015,7.689943,0,0,297,43,21,19,0.19,7014.34,583.146,NA,NA,NA
G18-BV-1_trimmed.sorted,G18-BV-1,9,Burgverwaltung,Germany,NA,48.17536,7.783603,15,85,62,1,55,70,0.52,6371.35,495.296,NA,NA,NA
G18-BV-10_trimmed.sorted,G18-BV-10,9,Burgverwaltung,Germany,NA,48.17536,7.783603,1,5,113,16,69,1,0.24,5983.56,484.219,NA,NA,NA
G18-BV-11_trimmed.sorted,G18-BV-11,9,Burgverwaltung,Germany,NA,48.17536,7.783603,0,7,169,6,0,108,0.61,6753.96,531.502,NA,NA,NA
G18-BV-12_trimmed.sorted,G18-BV-12,9,Burgverwaltung,Germany,NA,48.17536,7.783603,19,14,87,0,0,153,0.47,6524.67,470.734,NA,NA,NA
G18-BV-3_trimmed.sorted,G18-BV-3,9,Burgverwaltung,Germany,NA,48.17536,7.783603,0,23,70,0,3,128,0.53,6240.52,NA,NA,NA,NA
G18-BV-4_trimmed.sorted,G18-BV-4,9,Burgverwaltung,Germany,NA,48.17536,7.783603,0,50,138,11,152,27,0.6,7146.46,493.556,NA,NA,NA
G18-BV-5_trimmed.sorted,G18-BV-5,9,Burgverwaltung,Germany,NA,48.17536,7.783603,6,133,49,NA,NA,NA,0.51,6337.09,NA,NA,NA,NA
G18-BV-7_trimmed.sorted,G18-BV-7,9,Burgverwaltung,Germany,NA,48.17536,7.783603,0,3,154,4,0,120,0.54,5736.81,503.553,NA,NA,NA
G18-BV-8_trimmed.sorted,G18-BV-8,9,Burgverwaltung,Germany,NA,48.17536,7.783603,16,166,0,36,153,1,0.39,6388.2,NA,NA,NA,NA
G18-BV-9_trimmed.sorted,G18-BV-9,9,Burgverwaltung,Germany,NA,48.17536,7.783603,0,1,169,6,84,30,0.56,5622.36,518.862,NA,NA,NA
G18-EN-1_trimmed.sorted,G18-EN-1,18,Eisenach,Germany,NA,51.027863,10.359738,0,0,603,NA,NA,NA,1,8036.6,554.527,NA,NA,NA
G18-EN-2_trimmed.sorted,G18-EN-2,18,Eisenach,Germany,NA,51.027863,10.359738,3,0,173,85,0,0,0.67,7629.57,NA,NA,NA,NA
G18-EN-3_trimmed.sorted,G18-EN-3,18,Eisenach,Germany,NA,51.027863,10.359738,1,4,135,NA,NA,NA,0.54,6077.58,NA,NA,NA,NA
G18-EN-4_trimmed.sorted,G18-EN-4,18,Eisenach,Germany,NA,51.027863,10.359738,2,10,140,46,50,17,0.67,6235.92,NA,NA,NA,NA
G18-EN-5_trimmed.sorted,G18-EN-5,18,Eisenach,Germany,NA,51.027863,10.359738,NA,NA,NA,NA,NA,NA,0.81,7939.4,NA,NA,NA,NA
G18-EN-6_trimmed.sorted,G18-EN-6,18,Eisenach,Germany,NA,51.027863,10.359738,82,0,0,87,1,0,1.06,6219.42,NA,NA,NA,NA
G18-EN-7_trimmed.sorted,G18-EN-7,18,Eisenach,Germany,NA,51.027863,10.359738,0,0,199,NA,NA,NA,0.54,NA,533.791,NA,NA,NA
G18-EN-8_trimmed.sorted,G18-EN-8,18,Eisenach,Germany,NA,51.027863,10.359738,0,0,115,46,0,0,0.97,4982.83,NA,NA,NA,NA
G18-FO-1_trimmed.sorted,G18-FO-1,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,0,0,343,72,115,24,0.24,7079.31,528.619,NA,NA,NA
G18-FO-10_trimmed.sorted,G18-FO-10,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,4,144,67,3,74,68,0.49,7884.54,NA,NA,NA,NA
G18-FO-11_trimmed.sorted,G18-FO-11,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,5,1,694,6,0,99,0.49,8058.3,535.287,NA,NA,NA
G18-FO-3_trimmed.sorted,G18-FO-3,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,0,5,310,NA,NA,NA,0.28,7085.23,535.598,NA,NA,NA
G18-FO-4_trimmed.sorted,G18-FO-4,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,1,3,185,43,32,43,0.52,6985.52,510.125,NA,NA,NA
G18-FO-5_trimmed.sorted,G18-FO-5,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,0,1,213,0,16,125,0.15,6272.49,529.657,NA,NA,NA
G18-FO-6_trimmed.sorted,G18-FO-6,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,28,0,740,39,7,54,0.33,7756.24,539.975,NA,NA,NA
G18-FO-7_trimmed.sorted,G18-FO-7,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,10,0,495,4,58,52,0.42,7626.19,550.78,NA,NA,NA
G18-FO-8_trimmed.sorted,G18-FO-8,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,46,0,727,2,26,92,0.18,8581.91,558.434,NA,NA,NA
G18-FO-9_trimmed.sorted,G18-FO-9,10,FlugplatzOffenburg,Germany,NA,48.443842,7.919677,0,0,526,1,2,173,0.43,6523.37,548.046,NA,NA,NA
G18-FP-1_trimmed.sorted,G18-FP-1,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,414,0,0,170,0.31,5996.82,584.535,NA,NA,NA
G18-FP-10_trimmed.sorted,G18-FP-10,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,274,4,1,61,0.31,6647.81,578.235,NA,NA,NA
G18-FP-11_trimmed.sorted,G18-FP-11,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,231,0,0,130,0.38,5734.28,555.83,NA,NA,NA
G18-FP-12_trimmed.sorted,G18-FP-12,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,256,22,65,2,0.21,6123.74,591.463,NA,NA,NA
G18-FP-14_trimmed.sorted,G18-FP-14,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,79,0,0,79,0.53,6560.69,581.815,NA,NA,NA
G18-FP-15_trimmed.sorted,G18-FP-15,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,267,1,20,130,0.18,5978.44,561.285,NA,NA,NA
G18-FP-19_trimmed.sorted,G18-FP-19,21,FriedhofPegau,Germany,NA,51.169048,12.250685,0,0,350,0,0,127,0.32,5213.4,582.489,NA,NA,NA
G18-FP-2_trimmed.sorted,G18-FP-2,21,FriedhofPegau,Germany,NA,51.169048,12.250685,1,0,224,4,0,74,0.5,6785.88,598.272,NA,NA,NA
G18-FP-4_trimmed.sorted,G18-FP-4,21,FriedhofPegau,Germany,NA,51.169048,12.250685,6,1,104,0,0,56,0.42,5363.96,555.86,NA,NA,NA
G18-FP-7_trimmed.sorted,G18-FP-7,21,FriedhofPegau,Germany,NA,51.169048,12.250685,3,0,190,0,0,115,0.4,6851,577.847,NA,NA,NA
G18-GH-1_trimmed.sorted,G18-GH-1,14,Graefenhause,Germany,NA,49.930762,8.594512,0,0,368,17,15,40,0.4,6385.95,557.907,NA,NA,NA
