,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
82,G18-BM-8.posterize.JPG,G18-BM-8,21115,3545,0.167890126,2640,18133,790,0,55966,2982,115,14
83,G18-BM-9.posterize.JPG,G18-BM-9,45425,8662,0.190687947,6697,43784,1797,0,70105,1641,168,35
84,G18-BD-1.posterize.JPG,G18-BD-1,23310,13968,0.599227799,11326,22550,2431,0,46414,760,211,40
85,G18-BD-10.posterize.JPG,G18-BD-10,42599,36262,0.851240639,32671,41045,2860,0,75323,1554,731,40
86,G18-BD-11.posterize.JPG,G18-BD-11,45074,9671,0.214558282,4305,43088,5155,0,59589,1986,211,29
87,G18-BD-12.posterize.JPG,G18-BD-12,11786,4998,0.424062447,4190,11624,605,0,20045,162,203,23
88,G18-BD-13.posterize.JPG,G18-BD-13,26285,18824,0.716149895,16334,24604,2290,0,53130,1681,200,17
89,G18-BD-14.posterize.JPG,G18-BD-14,29389,23369,0.795161455,20353,28668,2837,0,48041,721,179,15
90,G18-BD-15.posterize.JPG,G18-BD-15,46619,22896,0.491130226,10283,44501,12380,0,63797,2118,233,19
91,G18-BD-16.posterize.JPG,G18-BD-16,35241,19756,0.560597032,13924,33808,5590,0,57551,1433,242,12
92,G18-BD-17.posterize.JPG,G18-BD-17,13529,4008,0.296252495,2706,12793,1201,0,23796,736,101,27
93,G18-BD-18.posterize.JPG,G18-BD-18,48171,32366,0.67189803,30093,47256,2056,0,67615,915,217,24
94,G18-BD-19.posterize.JPG,G18-BD-19,21381,11243,0.5258407,9347,20596,1725,0,34143,785,171,20
95,G18-BD-2.posterize.JPG,G18-BD-2,25722,14504,0.563875282,11694,23633,2467,0,40733,2089,343,41
96,G18-BD-20.posterize.JPG,G18-BD-20,64488,23780,0.368750775,8349,61639,14973,0,74347,2849,458,12
97,G18-BD-3.posterize.JPG,G18-BD-3,61381,11606,0.189081312,2137,59059,9093,0,72523,2322,376,20
98,G18-BD-4.posterize.JPG,G18-BD-4,33063,25108,0.759398724,13086,29690,11777,0,51672,3373,245,5
99,G18-BD-5.posterize.JPG,G18-BD-5,23196,8411,0.362605622,6244,21987,2070,0,31240,1209,97,31
100,G18-BD-6.posterize.JPG,G18-BD-6,33531,10515,0.313590409,4647,31999,5608,0,49631,1532,260,31
101,G18-BD-7.posterize.JPG,G18-BD-7,46940,23405,0.498615254,17741,38143,5428,0,83198,8797,236,0
