"","ddradID","altID","population_number","population_name","Country","Treatment","X1Ovi_Egg","X1Ovi_Dead","X1Ovi_Living","X2Ovi_Egg","X2Ovi_Dead","X2Ovi_Living","Pigmentation","LegLength","X1Ovi_LegLength","X2Ovi_LegLength","X1Ovi_mass","X2Ovi_mass","dat_filtered$population_number","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"3.6","E18-PJ-4_trimmed.sorted","E18-Pulgoja-4",40,"Pulgoja","Estonia","France",1,2,261,1,4,142,0.69,6255.81,577.6813,523.812,0.2987333,0.2494,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.7","E18-PJ-6_trimmed.sorted","E18-Pulgoja-6",40,"Pulgoja","Estonia","France",0,51,254,1,0,140,0.38,6930.47,555.4507,554.414,0.2990667,0.3227333,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.8","E18-PJ-7_trimmed.sorted","E18-Pulgoja-7",40,"Pulgoja","Estonia","Estonia",1,5,115,12,35,24,0.48,2972.6,581.9373,574.57,0.3139333,0.343,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"3.9","E18-PJ-9_trimmed.sorted","E18-Pulgoja-9",40,"Pulgoja","Estonia","France",0,6,164,8,112,7,0.63,6142.07,592.5587,NA,0.2989333,NA,40,-5.1697873435388,-1.31504961444272,-2.27261230800594,0.937418043759456,-1.5355568287598,0.380527871883049,-0.0372582912159864,-0.258546289443451,0.0378514470084058,0.0741968186429863,-0.0544333386715594,0.0428280339729409,0.0220914132382188,-0.0405239936006138,-0.0174006059650476,0.00374910124065335,0.000368526296565407,-0.00340322002263922,8.74130776046918e-08
"4","FrBuCB01_trimmed.sorted","FrBuCB01",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.1","FrBuCB03_trimmed.sorted","FrBuCB03",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.2","FrBuCB04_trimmed.sorted","FrBuCB04",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.3","FrBuCB05_trimmed.sorted","FrBuCB05",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.4","FrBuCB06_trimmed.sorted","FrBuCB06",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.5","FrBuCB07_trimmed.sorted","FrBuCB07",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
